player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb
0Oq6243Pq6,Lena Silano,2000-02-28,USA,FW,ST,MF,W,"['2023', '2024']",,,
0Oq62D2xq6,Mwanalima Jereko,1997-09-04,Kenya,MF,CM,,AM,2024,,,
0Oq62ob2q6,Heather Hinz,2001-06-27,USA,GK,GK,,,2024,,,
0Oq632XPQ6,Jenna Hellstrom,1995-04-02,Canada,DF,FB,,,2020,5.0,6.0,
0Oq63967Q6,Julia Dorsey,2000-08-08,USA,,,,,{},,,
0Oq63d8XQ6,Maddie Huster,1996-07-05,USA,,,,,{},5.0,4.0,
0Oq63dogQ6,Paige Monaghan,1996-11-13,USA,MF,W,FW,W,"['2019', '2020', '2021', '2022', '2023', '2024']",5.0,7.0,
0Oq63dpzQ6,Erin Yenney,1992-10-20,USA,FW,W,MF,W,2018,5.0,7.0,
0Oq63NGdQ6,Kate Del Fava,1998-07-23,USA,DF,FB,,CB,"['2020', '2021', '2022', '2023', '2024']",5.0,9.0,
0Oq6L6BzM6,Madison Elwell,1999-09-06,USA,DF,FB,,,"['2022', '2023']",,,
0Oq6Lbp7M6,Alexis Loera,1999-06-19,USA,MF,DM,DF,CB,"['2022', '2023', '2024']",,,
0Oq6LbXzM6,Mia Gyau,1998-06-22,USA,DF,FB,,,"['2022', '2023']",,,
0Oq6LeZxM6,Joelle Anderson,1998-10-06,USA,MF,CM,,,"['2022', '2023', '2024']",,,
0Oq6lgE2M6,Angharad James-Turner,1994-06-01,Wales,MF,DM,,CM,"['2021', '2022', '2024']",,,
0Oq6LKAxM6,Scarlett Camberos,2000-11-20,Mexico,MF,W,FW,W,"['2023', '2024']",5.0,6.0,137.0
0Oq6lL2rM6,Nahomi Kawasumi,1985-09-23,Japan,FW,W,MF,W,"['2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023']",5.0,2.0,110.0
0Oq6lLLrM6,Elise Thorsnes,1988-08-14,Norway,MF,W,,,2018,5.0,9.0,154.0
0Oq6lLw2M6,Lisa De Vanna,1984-11-14,Australia,MF,W,,AM,2016,5.0,1.0,123.0
0Oq6LpwXM6,Taylor Aylmer,,USA,MF,DM,,,"['2021', '2022', '2023']",5.0,8.0,
0Oq6lRkrM6,Verónica Boquete,1987-04-09,Spain,MF,CM,,,"['2019', '2020']",5.0,4.0,119.0
0Oq6LyL7M6,Jenna Winebrenner,1999-03-01,USA,DF,CB,,,"['2022', '2023']",,,
0Oq6w2WgQ6,Katie Lind,1994-02-15,USA,DF,CB,,,"['2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023']",5.0,10.0,
0Oq6w6D6Q6,Ally Watt,1997-03-12,USA,FW,ST,MF,W,"['2020', '2021', '2022', '2023', '2024']",,,
0Oq6w6JgQ6,Naomi Girma,2000-06-14,USA,DF,CB,,,"['2022', '2023', '2024']",5.0,5.0,
0Oq6w6ngQ6,Holly Daugirda,,USA,,,,,{},,,
0Oq6wa1gQ6,Lindsay Elston,1991-04-30,USA,MF,CM,,,"['2016', '2017']",5.0,8.0,
0Oq6waLAQ6,Jami Kranich,1992-05-27,USA,GK,GK,,,2016,5.0,10.0,
0Oq6waLXQ6,Louise Schillgard,1989-10-23,Sweden,MF,W,,,2016,,,
0Oq6waZ2Q6,Maycee Bell,2000-09-18,USA,DF,FB,,,2024,5.0,11.0,
0Oq6wbb2Q6,Kristen McNabb,1994-04-17,USA,DF,FB,,CB,"['2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,5.0,
0Oq6wGnrQ6,Paige Nielsen,1993-10-14,USA,DF,CB,,,"['2016', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,5.0,
0Oq6wlg7Q6,Caprice Dydasco,1993-08-19,USA,DF,FB,,,"['2016', '2017', '2018', '2019', '2021', '2022', '2023', '2024']",5.0,3.0,
0Oq6wlgrQ6,Taylor Smith,1993-12-01,USA,DF,FB,,,"['2016', '2017', '2018', '2020', '2021', '2022', '2023']",5.0,3.0,
0Oq6wVydQ6,Kayla Mills,1995-11-08,USA,DF,FB,,,2017,5.0,9.0,
0Oq6wZexQ6,Janine Sonis,1994-08-20,Canada,MF,W,,,"['2016', '2017', '2018', '2022', '2024']",5.0,8.0,
0x5g23JrM7,Cara Walls,1993-06-16,USA,FW,ST,,,2016,,,
0x5g23nLM7,Hensley Hancuff,2000-08-03,USA,,,,,{},,,
0x5g23VwM7,Abigail Steele,1993-09-18,USA,,,,,{},,,
0x5g23X7M7,Samantha Lofton,1992-04-29,USA,DF,FB,,,2016,5.0,8.0,
0x5g26b7M7,Jess Carter,1997-10-27,England,DF,FB,,,2024,5.0,5.0,150.0
0x5g2EBPM7,Zoe Redei,1997-10-08,USA,FW,W,,,2020,5.0,4.0,
0x5g2EoZM7,Katie Johnson,1994-09-14,Mexico,FW,ST,,,"['2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,9.0,
0x5g2EvwM7,Samantha Hiatt,1998-01-06,USA,DF,CB,,,"['2020', '2021', '2022', '2023', '2024']",5.0,10.0,
0x5g2k0bM7,Amber Brooks,1991-01-23,USA,DF,CB,,,"['2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023']",5.0,6.0,
0x5g2mW7M7,Casey Krueger,1990-08-23,USA,DF,FB,,,"['2016', '2017', '2018', '2019', '2020', '2021', '2023', '2024']",5.0,8.0,
0x5g2NEPM7,Kumi Yokoyama,1993-08-13,Japan,MF,W,,,"['2020', '2021', '2022']",5.0,1.0,119.0
0x5g2nzPM7,Allysha Chapman,1989-01-25,Canada,DF,FB,,,"['2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",5.0,3.0,123.0
0x5g2pRwM7,Elin Rubensson,1993-05-11,Sweden,MF,CM,,DM,2024,5.0,5.0,135.0
